wallet,tx_hash,value,from,to,success,timestamp
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xfd672d3939921853738eb154c39bc9c2b3f98a558513ca81b4fb68d9c1497299,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xf5dce57282a584d2746faf1593d3121fcac444dc,True,1565105339
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x74843c8526e3a4ced341012994d0ba73a9b94597c18b2129d3a9f7528566f3ef,1.0,0xa1ab7a4aa264745912db261536291336f7e543ac,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,True,1565184878
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xf9e8dc4d274c4a5d8932138753c558c38ae5dccc131cd8ae76fb8ff0c480f22f,0.99836868865,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,True,1565185055
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x233298982f1cb7b56ed438b4d136c6bb5fcbeae1ef6254bd27014ac3013a2734,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xf5dce57282a584d2746faf1593d3121fcac444dc,True,1565185110
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x4855cfab685c638e595d5f1ed1a64bf1858057ca202d59782ee674748611f774,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xf5dce57282a584d2746faf1593d3121fcac444dc,True,1565393026
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x57fb756a8e3761ed5b39b5ff489c64ac01c2bf47d6b3135048b248710fbff5d9,1.5,0xa1ab7a4aa264745912db261536291336f7e543ac,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,True,1565393459
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xa690893b8e377bb3acc069455d8c6181c0e27b1d19649793ff55b17cde000f88,1.4989975255,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,True,1565393546
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x7038fb56efd688107da409da9aef1fb032c0f592037a0da02c16c96c7a36fefe,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xf5dce57282a584d2746faf1593d3121fcac444dc,True,1566051091
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0x3330e4e2af96ae0d129bcde156b1decc707461440493e1c9d9c82786d9bec48a,0.0,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xf5dce57282a584d2746faf1593d3121fcac444dc,True,1566764775
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0xcea40dc272586c2df7bf6e584e2e1caf074f6965d559cce6111ca76fb668c541,3.22093907,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,True,1567369518
